#Hydration free energy datbase v0.52, 6/11/17.
#Semicolon-delimited text file with fields in the following format:
# compound id (and file prefix); SMILES; iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem); experimental value (kcal/mol); experimental uncertainty (kcal/mol); Mobley group calculated value (GAFF) (kcal/mol); calculated uncertainty (kcal/mol); experimental reference (original or paper this value was taken from); calculated reference; text notes.
mobley_1017962; CCCCCC(=O)OC; methyl hexanoate; -2.49; 0.60; -3.30; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1019269; CCCCO; butan-1-ol; -4.72; 0.60; -3.23; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1034539; c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl; 1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene; -3.04; 0.10; -1.08; 0.04; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1036761; C1CCC(CC1)N; cyclohexanamine; -4.59; 0.60; -3.95; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1046331; c1ccc(cc1)OC=O; phenyl formate; -3.82; 0.60; -5.44; 0.03; J. Peter Guthrie, unpublished data, as provided to D. Mobley 2007/2008, and as cited in 10.1021/jp0764384; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1075836; CCC(=O)OC; methyl propanoate; -2.93; 0.60; -3.65; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1079207; c1cc(cc(c1)Cl)Cl; 1,3-dichlorobenzene; -0.98; 0.60; -0.11; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1107178; CCI; iodoethane; -0.74; 0.60; -0.61; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1139153; CC(C)CC(C)(C)C; 2,2,4-trimethylpentane; 2.89; 0.60; 2.54; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1144156; CCOCC; ethoxyethane; -1.59; 0.60; -0.62; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1160109; C[C@@H]1CC[C@H](CC1=O)C(=C)C; (2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone; -3.75; 0.21; -3.34; 0.03; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1178614; c1ccc(c(c1)O)Cl; 2-chlorophenol; -4.55; 0.60; -3.32; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1189457; CSc1ccccc1; methylsulfanylbenzene; -2.73; 0.60; -1.32; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1199854; CCCI; 1-iodopropane; -0.53; 0.60; -0.44; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1231151; CC(C)Cl; 2-chloropropane; -0.25; 0.60; 0.83; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1235151; CCCCC[N+](=O)[O-]; 1-nitropentane; -2.82; 0.60; -1.32; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1244778; C1CCCC(CC1)O; cycloheptanol; -5.48; 0.60; -4.34; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1261349; CC(C)(C)C; neopentane; 2.51; 0.60; 2.51; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1278715; C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl; hexachloroethane; -0.64; 0.10; 0.89; 0.03; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
